"Position","Machine","First Name","Last Name","Classification","Category","Club","Time","url","distance"
"104","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","1:05:14","https://www.cyclingtimetrials.org.uk/race-results/27279#anchor","25 miles"
"DNS","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27279#anchor","25 miles"
"11","TT Bike","Timothy","Welsh","Open","Senior","Cambridge CC","1:52:08","https://www.cyclingtimetrials.org.uk/race-results/27132#anchor","50 miles"
"25","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:20:09","https://www.cyclingtimetrials.org.uk/race-results/27277#anchor","10 miles"
"49","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:20:43","https://www.cyclingtimetrials.org.uk/race-results/27277#anchor","10 miles"
"94","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:22:49","https://www.cyclingtimetrials.org.uk/race-results/27277#anchor","10 miles"
"113","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","00:24:16","https://www.cyclingtimetrials.org.uk/race-results/27277#anchor","10 miles"
"15","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","00:20:50","https://www.cyclingtimetrials.org.uk/race-results/27126#anchor","10 miles"
"26","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:23:42","https://www.cyclingtimetrials.org.uk/race-results/27126#anchor","10 miles"
"35","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","00:25:16","https://www.cyclingtimetrials.org.uk/race-results/27126#anchor","10 miles"
"DNS(A)","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27126#anchor","10 miles"
"DNS","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27126#anchor","10 miles"
"52","Road Bike","Chris","Owen","Open","Senior","Cambridge CC","2:01:00","https://www.cyclingtimetrials.org.uk/race-results/27181#anchor","50 miles"
"16","Road Bike","Lucy","Griffin","Female","Senior","Cambridge CC","2:20:03","https://www.cyclingtimetrials.org.uk/race-results/27182#anchor","50 miles"
"49","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","2:04:27","https://www.cyclingtimetrials.org.uk/race-results/27275#anchor","50 miles"
"54","Road Bike","Simon","Bevan","Open","Senior","Cambridge CC","2:07:36","https://www.cyclingtimetrials.org.uk/race-results/27275#anchor","50 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:17:53","https://www.cyclingtimetrials.org.uk/race-results/27123#anchor","10 miles"
"19","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","00:20:41","https://www.cyclingtimetrials.org.uk/race-results/27123#anchor","10 miles"
"35","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:22:16","https://www.cyclingtimetrials.org.uk/race-results/27123#anchor","10 miles"
